update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,2048,-2.9975,0.0,0.0,0.0,0.004512,8.339962,1.031687
2,4096,-7.9875,0.0,0.0,0.0,0.001338,7.822023,0.989721
3,6144,-4.2325,0.0,0.0,0.0,0.006495,7.066451,1.005922
4,8192,-4.425,0.0,0.0,0.0,0.006534,8.080191,0.991187
5,10240,-2.255,0.0,0.0,0.0,0.005709,7.477191,1.00327
6,12288,-3.7675,0.0,0.0,0.0,0.006449,8.673094,1.00161
7,14336,-3.185,0.0,0.0,0.0,0.008425,7.057739,0.924395
8,16384,-3.8775,0.0,0.0,0.0,0.005077,8.469175,0.942289
9,18432,-1.72,0.0,0.0,0.0,0.006443,7.361063,0.896922
10,20480,-5.895,0.0,0.0,0.0,0.011547,6.939273,0.883223
11,22528,-1.0875,0.0,0.0,0.0,0.01026,7.448781,0.894184
12,24576,-2.81,0.0,0.0,0.0,0.010642,7.591854,0.876133
13,26624,-3.2225,0.0,0.0,0.0,0.00838,7.302104,0.876179
14,28672,-2.945,0.0,0.0,0.0,0.010018,8.399295,0.88906
15,30720,-6.01,0.0,0.0,0.0,0.014078,7.731808,0.889897
16,32768,-3.3175,0.0,0.0,0.0,0.012464,7.965079,0.925512
17,34816,-3.9675,0.0,0.0,0.0,0.016018,9.542822,0.919822
18,36864,-4.4175,0.0,0.0,0.0,0.016781,9.311862,0.932233
19,38912,-3.3425,0.0,0.0,0.0,0.00995,7.25062,0.868405
20,40960,-0.75,0.26667,1734.04147,2666666.66667,0.014064,6.530233,0.872126
21,43008,-0.76,0.0,0.0,0.0,0.010892,10.447887,0.885732
22,45056,-0.985,0.0,0.0,0.0,0.012194,8.699326,0.889016
23,47104,-3.035,0.0,0.0,0.0,0.01811,9.344437,0.953744
24,49152,-3.215,0.0,0.0,0.0,0.015304,10.190756,0.950277
25,51200,-2.245,0.0,0.0,0.0,0.013381,9.834829,0.947818
26,53248,-1.7525,0.0,0.0,0.0,0.016575,10.305807,0.93642
27,55296,-6.7525,0.0,0.0,0.0,0.012977,10.096037,0.923162
28,57344,-3.2525,0.0,0.0,0.0,0.01237,8.388616,0.894236
29,59392,-2.5025,0.0,0.0,0.0,0.012078,9.25069,0.89781
30,61440,-2.1375,0.0,0.0,0.0,0.016982,9.395343,0.909353
31,63488,-2.1725,0.0,0.0,0.0,0.018867,9.596358,0.873686
32,65536,-1.04,0.0,0.0,0.0,0.016098,8.824777,0.872966
33,67584,-3.065,0.0,0.0,0.0,0.016664,9.429282,0.863151
34,69632,-3.2025,0.0,0.0,0.0,0.014602,7.835871,0.872104
35,71680,-2.7,0.0,0.0,0.0,0.012862,7.924297,0.859665
36,73728,-1.615,0.0,0.0,0.0,0.013399,9.087629,0.864615
37,75776,-0.44,0.0,0.0,0.0,0.014458,9.035758,0.851634
38,77824,-2.605,0.0,0.0,0.0,0.011381,7.428519,0.852329
39,79872,-2.62,0.0,0.0,0.0,0.01146,5.711516,0.891882
40,81920,-0.8775,0.26667,961.72823,3200000.0,0.019381,9.551227,0.864422
41,83968,-2.095,0.0,0.0,0.0,0.01665,10.369711,0.883389
42,86016,-0.7875,0.0,0.0,0.0,0.013998,9.482293,0.891285
43,88064,-2.8,0.0,0.0,0.0,0.011457,7.992617,0.885634
44,90112,-2.81,0.0,0.0,0.0,0.017748,7.893574,0.840579
45,92160,-2.915,0.0,0.0,0.0,0.007996,7.092844,0.887095
46,94208,-1.955,0.0,0.0,0.0,0.01648,9.645402,0.870233
47,96256,-3.0525,0.0,0.0,0.0,0.010602,6.669849,0.81646
48,98304,-1.7475,0.0,0.0,0.0,0.018377,8.708856,0.855492
49,100352,-3.035,0.0,0.0,0.0,0.012808,8.377894,0.86166
50,102400,-0.005,0.0,0.0,0.0,0.011066,7.860835,0.849165
51,104448,-3.745,0.0,0.0,0.0,0.00979,8.413764,0.888194
52,106496,-2.95,0.0,0.0,0.0,0.016375,9.119106,0.866031
53,108544,-1.8825,0.0,0.0,0.0,0.012844,9.431624,0.852042
54,110592,-0.3525,0.0,0.0,0.0,0.016586,9.991141,0.844004
