env_step,epsilon,q_loss,mean_q,eval_bdr,eval_reward
20000,0.9366635,0.40441,-4.80589,0.0,-5.0
40000,0.8710501666666667,0.28179,-5.62764,0.1,-3.675
60000,0.8059941666666667,0.64229,-5.6578,0.06667,-4.04
80000,0.7404536666666667,0.16977,-5.69785,0.03333,-4.55833
100000,0.6757111666666666,0.38375,-5.73381,0.1,-3.99
120000,0.6107374999999999,0.72763,-5.77976,0.13333,-3.04333
140000,0.5453616666666667,0.36773,-5.64861,0.13333,-3.405
160000,0.4805938333333334,0.25248,-5.60857,0.1,-4.7
180000,0.415389,0.50475,-5.89905,0.1,-3.55333
200000,0.34989916666666665,0.68164,-5.78065,0.1,-3.68667
220000,0.2849223333333334,0.34593,-5.77599,0.23333,-2.76
240000,0.21979666666666664,0.14182,-5.70516,0.13333,-3.05667
260000,0.1545253333333334,0.22525,-5.5959,0.16667,-3.63
280000,0.08997916666666672,0.32418,-5.49975,0.13333,-4.94833
300000,0.050000000000000044,0.41394,-5.56509,0.1,-3.79333
320000,0.050000000000000044,0.29862,-5.45343,0.2,-2.68333
340000,0.050000000000000044,0.0445,-5.53494,0.26667,-1.905
360000,0.050000000000000044,0.08508,-5.40007,0.06667,-4.36
380000,0.050000000000000044,0.15384,-5.47938,0.13333,-3.09667
400000,0.050000000000000044,0.01878,-5.52019,0.2,-3.32
420000,0.050000000000000044,0.15,-5.39645,0.36667,0.425
440000,0.050000000000000044,0.23486,-5.24246,0.03333,-4.66833
460000,0.050000000000000044,0.35038,-5.39268,0.33333,-1.48
480000,0.050000000000000044,0.28476,-5.20794,0.23333,-1.79667
500000,0.050000000000000044,0.13819,-5.29171,0.16667,-3.22333
520000,0.050000000000000044,0.0962,-5.20692,0.43333,0.04333
540000,0.050000000000000044,0.10302,-5.01786,0.43333,0.57
560000,0.050000000000000044,0.36093,-4.85456,0.23333,-1.83833
580000,0.050000000000000044,0.46624,-4.29757,0.36667,-1.72333
600000,0.050000000000000044,0.33142,-4.57848,0.66667,4.33667
620000,0.050000000000000044,0.26848,-4.32729,0.16667,-3.8
640000,0.050000000000000044,0.28393,-4.31523,0.36667,-1.17333
660000,0.050000000000000044,0.34501,-4.16481,0.53333,2.41
680000,0.050000000000000044,0.42492,-4.09475,0.2,-3.37333
700000,0.050000000000000044,0.3566,-3.44403,0.16667,-6.01667
720000,0.050000000000000044,0.6467,-4.04306,0.76667,5.81167
740000,0.050000000000000044,0.4876,-3.92173,0.43333,-0.21833
760000,0.050000000000000044,0.30197,-3.95269,0.33333,-3.11167
780000,0.050000000000000044,0.50273,-3.25219,0.8,6.535
800000,0.050000000000000044,0.52392,-3.31472,0.36667,-0.88167
820000,0.050000000000000044,0.20764,-3.5577,0.36667,-2.94833
840000,0.050000000000000044,0.43744,-3.67465,0.63333,3.84
860000,0.050000000000000044,0.24286,-3.13124,0.4,-0.795
880000,0.050000000000000044,0.53754,-3.44378,0.36667,-3.37167
900000,0.050000000000000044,0.29485,-3.50383,0.7,4.97167
920000,0.050000000000000044,0.59548,-3.10782,0.33333,-2.05333
940000,0.050000000000000044,0.44234,-3.38142,0.23333,-5.58833
960000,0.050000000000000044,0.43364,-2.85049,0.73333,5.33833
980000,0.050000000000000044,0.33727,-3.22714,0.33333,-0.825
