update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,2048,-15.7425,0.0,0.0,0.0,-0.001265,68.652743,1.072727
2,4096,-8.715,0.0,0.0,0.0,-0.012216,57.223914,1.149513
3,6144,-7.6925,0.0,0.0,0.0,-0.012169,35.884318,1.194057
4,8192,-8.1625,0.0,0.0,0.0,-0.013337,24.76405,1.143257
5,10240,-9.4875,0.0,0.0,0.0,-0.004692,27.747666,1.207557
6,12288,-6.6925,0.0,0.0,0.0,-0.009226,21.432524,1.1474
7,14336,-8.1175,0.0,0.0,0.0,-0.004726,18.005367,1.100537
8,16384,-3.6875,0.0,0.0,0.0,-0.001642,12.736869,1.11031
9,18432,-3.875,0.0,0.0,0.0,-0.005376,14.763598,1.109248
10,20480,-4.87,0.23333,790.23209,7466666.66667,-0.00677,14.322845,1.104214
11,22528,-7.545,0.0,0.0,0.0,-0.003238,12.074593,1.04818
12,24576,-3.3175,0.0,0.0,0.0,-0.000249,9.171391,1.080844
13,26624,-7.89,0.0,0.0,0.0,-0.011768,16.4501,1.241556
14,28672,-3.5925,0.0,0.0,0.0,-0.006704,11.542333,1.16098
15,30720,-5.675,0.0,0.0,0.0,-0.010344,9.939448,1.06494
16,32768,-3.9525,0.0,0.0,0.0,-0.006556,9.554121,1.098893
17,34816,-5.275,0.0,0.0,0.0,-0.00478,10.209468,1.135762
18,36864,-7.71,0.0,0.0,0.0,-0.004327,11.630856,1.128338
19,38912,-3.2,0.0,0.0,0.0,-0.002125,8.32636,1.12766
20,40960,-5.37,0.2,718.42914,3928286.57285,-0.00548,7.729294,1.104179
21,43008,-4.98,0.0,0.0,0.0,-0.005023,9.141767,1.072616
22,45056,-2.7825,0.0,0.0,0.0,-0.002932,7.878484,1.037431
23,47104,-3.95,0.0,0.0,0.0,-0.006015,8.0578,1.013896
24,49152,-3.8975,0.0,0.0,0.0,-0.005419,7.146201,0.988533
25,51200,-1.3,0.0,0.0,0.0,-0.000555,9.736203,1.041846
26,53248,-3.6725,0.0,0.0,0.0,-0.002013,8.301391,1.044132
27,55296,-4.895,0.0,0.0,0.0,-0.005163,8.984735,1.057065
28,57344,-6.535,0.0,0.0,0.0,-0.002235,7.679784,1.012316
29,59392,-2.4825,0.0,0.0,0.0,-0.005914,8.900238,1.037026
30,61440,-5.78,0.23333,1097.31704,3200000.0,-0.004397,7.833763,1.021637
31,63488,-0.44,0.0,0.0,0.0,-0.000277,7.801427,1.020501
32,65536,-5.125,0.0,0.0,0.0,-0.000381,8.441789,1.051289
33,67584,-5.02,0.0,0.0,0.0,-0.003841,9.851802,1.054321
