update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,2048,-9.9725,0.0,0.0,0.0,-0.011907,38.387774,1.556857
2,4096,-6.02,0.0,0.0,0.0,-0.0171,32.003948,1.48955
3,6144,-7.2975,0.0,0.0,0.0,-0.006309,29.077408,1.429948
4,8192,-8.3575,0.0,0.0,0.0,-0.012134,24.314946,1.373998
5,10240,-7.145,0.0,0.0,0.0,-0.012008,22.948929,1.297302
6,12288,-8.5625,0.0,0.0,0.0,-0.010323,19.218598,1.264321
7,14336,-5.4575,0.0,0.0,0.0,-0.006667,16.756886,1.224253
8,16384,-5.95,0.0,0.0,0.0,-0.008476,16.059986,1.196289
9,18432,-7.705,0.0,0.0,0.0,-0.005139,15.637549,1.20136
10,20480,-4.01,0.0,0.0,0.0,-0.003904,12.680639,1.17897
11,22528,-2.9225,0.0,0.0,0.0,-0.003851,12.091361,1.154983
12,24576,-6.445,0.0,0.0,0.0,-0.005457,10.829275,1.128776
13,26624,-2.985,0.0,0.0,0.0,-0.001599,10.088495,1.132488
14,28672,-6.7475,0.0,0.0,0.0,0.000379,11.030316,1.163127
15,30720,-6.42,0.0,0.0,0.0,-0.002125,10.25775,1.128051
16,32768,-4.15,0.0,0.0,0.0,-0.000698,9.1397,1.175953
17,34816,-5.3875,0.0,0.0,0.0,-0.004172,9.567054,1.145835
18,36864,-5.41,0.0,0.0,0.0,-0.001721,7.961842,1.124905
19,38912,-6.5725,0.0,0.0,0.0,-0.000856,8.667911,1.133426
20,40960,-4.1,0.13333,238.96206,2383199.53282,0.0004,8.513546,1.130503
21,43008,-5.9225,0.0,0.0,0.0,-0.00343,7.969513,1.110402
22,45056,-5.985,0.0,0.0,0.0,-0.005137,7.310493,1.065983
23,47104,-8.165,0.0,0.0,0.0,-0.002821,8.835313,1.105649
24,49152,-2.195,0.0,0.0,0.0,-0.002978,7.734377,1.068709
25,51200,-4.4925,0.0,0.0,0.0,0.001414,6.039478,1.075383
26,53248,-5.1,0.0,0.0,0.0,-0.002141,5.771653,1.060516
27,55296,-4.2525,0.0,0.0,0.0,-0.00409,6.338464,1.00245
28,57344,-1.1875,0.0,0.0,0.0,0.000498,7.419425,1.063431
29,59392,-6.06,0.0,0.0,0.0,-0.000605,7.074512,1.058122
30,61440,-5.445,0.03333,32.34519,500000.0,0.003518,6.458487,1.036987
31,63488,-4.5025,0.0,0.0,0.0,-0.000471,7.380802,1.058989
32,65536,-6.37,0.0,0.0,0.0,-0.003721,7.795169,1.07178
33,67584,-4.2725,0.0,0.0,0.0,-0.001881,9.940392,1.136655
34,69632,-6.14,0.0,0.0,0.0,-0.002463,7.993877,1.074516
35,71680,-7.365,0.0,0.0,0.0,-0.002313,7.465296,1.048851
36,73728,-5.355,0.0,0.0,0.0,-0.006897,5.826385,1.036115
37,75776,-6.4525,0.0,0.0,0.0,0.001586,6.872165,1.041435
38,77824,-6.8,0.0,0.0,0.0,-0.00045,8.230479,1.03889
39,79872,-2.35,0.0,0.0,0.0,-0.000366,8.757091,1.043533
40,81920,-3.0,0.06667,252.97595,266666.66667,-0.001281,7.276963,1.029046
41,83968,-6.4175,0.0,0.0,0.0,0.000919,8.386891,1.060029
42,86016,-3.1775,0.0,0.0,0.0,-0.000648,9.753363,1.08059
43,88064,-4.655,0.0,0.0,0.0,-0.003258,7.547788,1.051627
44,90112,-4.4025,0.0,0.0,0.0,0.001972,6.361498,1.064784
45,92160,0.0975,0.0,0.0,0.0,0.001681,10.351576,1.090473
46,94208,-7.04,0.0,0.0,0.0,-0.001688,7.863276,1.082848
47,96256,-3.7775,0.0,0.0,0.0,0.000709,8.886583,1.015377
48,98304,-7.7275,0.0,0.0,0.0,-0.002524,7.318226,1.023577
49,100352,-4.675,0.0,0.0,0.0,-0.002341,7.124095,1.050161
50,102400,-6.91,0.16667,442.33208,1705651.06718,-0.001149,7.455214,1.022138
51,104448,-5.0325,0.0,0.0,0.0,-0.003428,7.16762,0.991246
