update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,3.72293,0.0,0.0,0.0,0.010392,2.5675,0.426187
2,8192,6.77372,0.0,0.0,0.0,0.011909,2.474914,0.434437
3,12288,10.0115,0.0,0.0,0.0,0.01504,2.583457,0.454793
4,16384,6.33632,0.0,0.0,0.0,0.010383,2.490256,0.442813
5,20480,5.72438,0.0,0.0,0.0,0.01328,2.68247,0.457621
6,24576,7.63196,0.0,0.0,0.0,0.011197,2.840771,0.450906
7,28672,8.17651,0.0,0.0,0.0,0.013268,2.719936,0.482479
8,32768,8.43694,0.0,0.0,0.0,0.0129,2.295225,0.500103
9,36864,8.69784,0.0,0.0,0.0,0.015284,2.432492,0.451232
10,40960,6.16709,0.0,0.0,0.0,0.010745,2.361983,0.472276
11,45056,4.2197,0.0,0.0,0.0,0.010937,2.504308,0.432032
12,49152,8.93451,0.0,0.0,0.0,0.015324,2.463239,0.444715
13,53248,10.62606,0.0,0.0,0.0,0.007861,2.417351,0.443307
14,57344,6.079,0.0,0.0,0.0,0.013519,2.478916,0.446249
15,61440,7.74302,0.0,0.0,0.0,0.014387,2.439925,0.438367
16,65536,7.50866,0.0,0.0,0.0,0.025474,1.948133,0.451909
17,69632,8.37275,0.0,0.0,0.0,0.012017,2.595506,0.442768
18,73728,6.74627,0.0,0.0,0.0,0.013367,2.701979,0.447261
19,77824,8.63125,0.0,0.0,0.0,0.019314,2.165239,0.465508
20,81920,9.3385,1.0,2303.97092,4603644.14411,0.012154,2.331943,0.458643
21,86016,6.95255,0.0,0.0,0.0,0.015539,2.902853,0.463236
22,90112,6.811,0.0,0.0,0.0,0.012367,2.553205,0.465865
23,94208,7.52282,0.0,0.0,0.0,0.011425,2.237497,0.461956
24,98304,8.29618,0.0,0.0,0.0,0.008958,3.030272,0.472977
25,102400,5.44243,0.0,0.0,0.0,0.020464,2.460824,0.456018
26,106496,5.678,0.0,0.0,0.0,0.017757,2.997971,0.4306
27,110592,9.78303,0.0,0.0,0.0,0.012718,2.821467,0.455743
28,114688,9.37477,0.0,0.0,0.0,0.013459,3.051418,0.457479
