update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,5.15887,0.0,0.0,0.0,0.06048,18.480318,0.7628
2,8192,4.2715,0.0,0.0,0.0,0.063756,18.454423,0.810675
3,12288,5.13732,0.0,0.0,0.0,0.04588,15.224545,0.778663
4,16384,8.08039,0.0,0.0,0.0,0.037025,14.364122,0.756732
5,20480,3.14501,0.0,0.0,0.0,0.037438,13.049076,0.729463
6,24576,4.90968,0.0,0.0,0.0,0.030051,11.499409,0.664897
7,28672,7.63047,0.0,0.0,0.0,0.030134,10.854633,0.673903
8,32768,6.31514,0.83333,2028.8487,3293186.46332,0.02785,9.784795,0.780544
9,36864,6.92549,0.0,0.0,0.0,0.033828,9.544822,0.778815
10,40960,8.87906,0.0,0.0,0.0,0.02254,8.070748,0.664412
11,45056,3.65191,0.0,0.0,0.0,0.027804,6.651867,0.677058
12,49152,8.66126,0.0,0.0,0.0,0.019791,6.738265,0.568453
13,53248,2.46951,0.0,0.0,0.0,0.023205,6.295437,0.617714
14,57344,3.51773,0.0,0.0,0.0,0.021959,5.838775,0.692793
15,61440,5.58376,0.0,0.0,0.0,0.020305,6.038373,0.703578
16,65536,6.41556,0.85,2512.39325,3784682.79654,0.02197,6.135642,0.774934
17,69632,7.46357,0.0,0.0,0.0,0.027444,4.842944,0.751841
18,73728,6.44779,0.0,0.0,0.0,0.019762,4.745865,0.733169
19,77824,7.92512,0.0,0.0,0.0,0.014984,4.950035,0.770407
20,81920,5.06895,0.0,0.0,0.0,0.015718,4.807583,0.733807
21,86016,7.93407,0.0,0.0,0.0,0.014613,3.678061,0.669934
22,90112,7.85957,0.0,0.0,0.0,0.015035,4.323867,0.746403
23,94208,7.81019,0.0,0.0,0.0,0.012767,4.128059,0.686516
24,98304,4.66434,0.8,2133.93813,3181116.99661,0.012788,3.85805,0.704911
25,102400,6.17927,0.0,0.0,0.0,0.017848,4.021748,0.637505
26,106496,2.60005,0.0,0.0,0.0,0.00774,3.316479,0.662312
27,110592,5.06829,0.0,0.0,0.0,0.015518,3.865398,0.776927
28,114688,4.97518,0.0,0.0,0.0,0.010899,3.257357,0.686977
29,118784,4.01046,0.0,0.0,0.0,0.012694,3.025613,0.675922
30,122880,7.75418,0.0,0.0,0.0,0.014796,3.661312,0.721822
31,126976,6.34297,0.0,0.0,0.0,0.007482,3.106307,0.680378
32,131072,7.06723,0.8,2530.43436,3458243.83432,0.015979,3.344783,0.702932
33,135168,4.13204,0.0,0.0,0.0,0.012501,2.948982,0.70929
34,139264,8.21098,0.0,0.0,0.0,0.009591,2.787749,0.673865
