update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,2048,-14.9625,0.0,0.0,0.0,0.056521,77.282993,1.008704
2,4096,-3.8275,0.0,0.0,0.0,0.024603,24.541936,0.982431
3,6144,-1.945,0.0,0.0,0.0,0.026534,21.643792,1.037569
4,8192,-7.2325,0.0,0.0,0.0,0.014992,17.492335,1.018707
5,10240,-4.28,0.0,0.0,0.0,0.013634,12.091167,0.916112
6,12288,-4.86,0.0,0.0,0.0,0.015089,14.503159,0.981253
7,14336,-5.865,0.0,0.0,0.0,0.004166,13.325952,1.034139
8,16384,-4.585,0.0,0.0,0.0,0.011931,9.857204,0.952087
9,18432,-4.415,0.0,0.0,0.0,0.003329,12.472516,1.061897
10,20480,-5.675,0.1,429.88847,1840000.0,-0.000235,11.428151,1.029133
11,22528,-5.58,0.0,0.0,0.0,0.001777,11.440818,1.094942
12,24576,-5.8,0.0,0.0,0.0,0.001165,10.70659,1.064681
13,26624,-4.0875,0.0,0.0,0.0,-0.001631,11.071554,1.066103
14,28672,-4.185,0.0,0.0,0.0,0.004023,11.004748,1.094767
15,30720,-5.6525,0.0,0.0,0.0,-0.002788,8.868954,1.073592
16,32768,-3.5775,0.0,0.0,0.0,-0.005644,9.416835,1.078605
17,34816,-4.7475,0.0,0.0,0.0,0.002695,7.298153,1.003591
18,36864,-4.8425,0.0,0.0,0.0,-0.003719,6.773909,1.005527
19,38912,-6.2025,0.0,0.0,0.0,-0.000184,6.596222,0.965492
20,40960,-5.64,0.34,1262.94437,3827775.32208,0.002386,7.457799,1.034255
21,43008,-6.0075,0.0,0.0,0.0,-0.003781,7.571464,1.034505
22,45056,-7.51,0.0,0.0,0.0,4.4e-05,8.073548,1.013492
23,47104,-4.55,0.0,0.0,0.0,0.001721,7.824477,1.036095
24,49152,-5.57,0.0,0.0,0.0,0.00018,6.81626,0.953389
25,51200,-5.9175,0.0,0.0,0.0,-0.000854,7.984951,1.038867
26,53248,-2.265,0.0,0.0,0.0,0.001649,6.446212,1.043451
27,55296,-2.33,0.0,0.0,0.0,0.000714,6.550512,0.97204
28,57344,-6.07,0.0,0.0,0.0,0.001078,8.555919,1.028277
29,59392,-3.695,0.0,0.0,0.0,0.003439,7.208434,0.977684
30,61440,-7.155,0.24,680.09353,2340000.0,0.000188,7.314729,0.948176
31,63488,-3.4975,0.0,0.0,0.0,0.005321,8.063781,1.018058
32,65536,-4.61,0.0,0.0,0.0,-0.001856,7.891912,1.031799
33,67584,-2.2775,0.0,0.0,0.0,0.007255,8.6745,1.027095
34,69632,-3.2125,0.0,0.0,0.0,-0.000307,8.597131,1.066598
35,71680,-3.9275,0.0,0.0,0.0,0.00317,9.160125,1.056361
36,73728,-4.8125,0.0,0.0,0.0,0.004786,10.159446,1.062103
37,75776,-4.7625,0.0,0.0,0.0,0.003978,7.965408,1.117529
38,77824,-3.5325,0.0,0.0,0.0,0.003687,10.531093,1.10107
39,79872,-6.36,0.0,0.0,0.0,-0.003067,7.809964,1.026005
40,81920,-5.63,0.16,687.75976,1800000.0,0.00337,9.126145,1.068913
41,83968,-5.7775,0.0,0.0,0.0,0.001307,11.150311,1.058705
42,86016,-6.3825,0.0,0.0,0.0,-0.000251,9.409351,1.060644
43,88064,-6.3825,0.0,0.0,0.0,0.004925,9.459687,1.067897
44,90112,-3.715,0.0,0.0,0.0,0.00056,8.132457,1.05405
45,92160,-4.825,0.0,0.0,0.0,0.005708,8.996342,1.084806
46,94208,-2.77,0.0,0.0,0.0,0.002623,10.846795,1.072837
47,96256,-5.4825,0.0,0.0,0.0,0.000159,9.482699,1.072335
48,98304,-6.2825,0.0,0.0,0.0,0.007872,10.753065,1.087294
49,100352,-0.39,0.0,0.0,0.0,0.000491,10.240299,1.0396
50,102400,-1.09,0.22,820.71903,3191853.55108,-0.001711,8.593572,1.030185
51,104448,-3.2175,0.0,0.0,0.0,-0.005518,7.957934,1.058246
52,106496,-4.3875,0.0,0.0,0.0,0.00492,9.084819,1.043961
53,108544,-2.475,0.0,0.0,0.0,-0.002543,8.014408,1.012999
54,110592,-7.195,0.0,0.0,0.0,-0.002053,7.991113,1.091749
55,112640,-5.53,0.0,0.0,0.0,0.003134,8.120261,1.066205
56,114688,-2.8775,0.0,0.0,0.0,0.004658,8.470605,1.072751
57,116736,-2.4975,0.0,0.0,0.0,0.002046,7.691408,1.037437
58,118784,-5.4875,0.0,0.0,0.0,-0.000799,8.260611,1.032237
59,120832,-3.84,0.0,0.0,0.0,0.003966,8.494502,1.065815
60,122880,-6.645,0.12,351.87504,2460000.0,0.002051,9.29382,1.060496
61,124928,-6.835,0.0,0.0,0.0,0.002095,9.125895,1.044202
62,126976,-6.7775,0.0,0.0,0.0,-8.1e-05,8.613364,1.030495
63,129024,-8.3175,0.0,0.0,0.0,-0.0007,9.419984,1.018106
64,131072,-3.3225,0.0,0.0,0.0,-0.002606,10.051619,1.011379
65,133120,-5.0875,0.0,0.0,0.0,-0.003039,8.322594,1.006817
66,135168,-2.47,0.0,0.0,0.0,-0.000153,9.668109,1.029312
67,137216,-4.885,0.0,0.0,0.0,0.003598,9.801429,1.014139
